,Event Date,# Shows,Headliner,Support,Venue,City,State,Country,Market,Currency,Promoter,Genre,Avg. Tickets Sold,Avg. Gross USD,Avg. Event Capacity,Avg. Capacity Sold,Ticket Price Min,Ticket Price Max,Ticket Price Avg. USD,Month,Location,yt name,yt Channel ID,yt Title,yt Description,yt Published At,yt View Count,yt Subscriber Count,yt Video Count,sp artist_name,sp artist_genre,sp followers,sp popularity,name,sales,gaondigital_times,gaondigital_firsts,yawards_total,Total_Population_City,Total_Asian_Population_City,Asian_Percentage_City,County,Total_Population_County,Total_Asian_Population_County,Asian_Percentage_County,day_of_week,is_holiday,Total population_state,Asian alone population_state,Asian percentage_state
7,2023-06-24,2,Twice,,Toyota Center,Houston,Texas,United States,Houston,US DOLLAR,Live Nation,Asian Pop,"9,802",1584632.5,"9,802",100%,59.50,229.50,161.66,6,Houston_Texas_United States,Twice,UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,TWICE Official YouTube Channel,2016-03-27T15:48:08Z,6085426852.0,17100000.0,1499.0,Twice,"['k-pop', 'k-pop girl group', 'pop']",19946445.0,81.0,Twice,12293918.0,595.0,15.0,43.0,2296253.0,157978.0,6.879816814610586,Harris,4731145.0,349268.0,7.382314429170951,5,False,29145505.0,1585480.0,5.439878293410939
8,2023-06-21,1,Twice,,Globe Life Field,Arlington,Texas,United States,Dallas-Ft. Worth,US DOLLAR,Live Nation,Asian Pop,"24,925",3711432.0,"24,925",100%,53.50,223.50,148.9,6,Arlington_Texas_United States,Twice,UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,TWICE Official YouTube Channel,2016-03-27T15:48:08Z,6085426852.0,17100000.0,1499.0,Twice,"['k-pop', 'k-pop girl group', 'pop']",19946445.0,81.0,Twice,12293918.0,595.0,15.0,43.0,393469.0,28531.0,7.251143037952164,Tarrant,2110640.0,129437.0,6.132594852746086,2,False,29145505.0,1585480.0,5.439878293410939
10,2023-03-27,1,Stray Kids,,Dickies Arena,Fort Worth,Texas,United States,Dallas-Ft. Worth,US DOLLAR,Live Nation,"Asian Pop, World","11,306",1277449.0,"11,774",96%,49.50,179.50,112.99,3,Fort Worth_Texas_United States,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,Stray Kids Official YouTube,2017-05-12T03:28:10Z,4777572477.0,16100000.0,1026.0,Stray Kids,"['k-pop', 'k-pop boy group', 'pop']",15053281.0,82.0,Stray Kids,21175461.0,12.0,0.0,17.0,924663.0,45247.0,4.893350334121728,Tarrant,2110640.0,129437.0,6.132594852746086,0,False,29145505.0,1585480.0,5.439878293410939
11,2023-03-26,1,Stray Kids,,Dickies Arena,Fort Worth,Texas,United States,Dallas-Ft. Worth,US DOLLAR,Live Nation,"Asian Pop, World","11,320",1276495.0,"11,774",96%,49.50,179.50,112.76,3,Fort Worth_Texas_United States,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,Stray Kids Official YouTube,2017-05-12T03:28:10Z,4777572477.0,16100000.0,1026.0,Stray Kids,"['k-pop', 'k-pop boy group', 'pop']",15053281.0,82.0,Stray Kids,21175461.0,12.0,0.0,17.0,924663.0,45247.0,4.893350334121728,Tarrant,2110640.0,129437.0,6.132594852746086,6,False,29145505.0,1585480.0,5.439878293410939
12,2023-03-20,1,CIX,,Will Rogers Auditorium,Fort Worth,Texas,United States,Dallas-Ft. Worth,US DOLLAR,"(In-House Promotion), Live Nation",Asian Pop,864,80256.8,"1,693",51%,49.95,129.95,92.89,3,Fort Worth_Texas_United States,CIX,UCuaslC77K-NmCy8Xwk7x0hA,CIX Official,C9Entertainment CIX Official Youtube,2019-01-08T10:04:21Z,234190992.0,1040000.0,654.0,CIX,['k-pop'],614765.0,48.0,CIX,677897.0,0.0,0.0,0.0,924663.0,45247.0,4.893350334121728,Tarrant,2110640.0,129437.0,6.132594852746086,0,False,29145505.0,1585480.0,5.439878293410939
13,2023-03-18,1,CIX,,Revention Music Center,Houston,Texas,United States,Houston,US DOLLAR,"(In-House Promotion), Live Nation",Asian Pop,926,89557.0,"1,329",70%,59.50,129.50,96.71,3,Houston_Texas_United States,CIX,UCuaslC77K-NmCy8Xwk7x0hA,CIX Official,C9Entertainment CIX Official Youtube,2019-01-08T10:04:21Z,234190992.0,1040000.0,654.0,CIX,['k-pop'],614765.0,48.0,CIX,677897.0,0.0,0.0,0.0,2296253.0,157978.0,6.879816814610586,Harris,4731145.0,349268.0,7.382314429170951,5,False,29145505.0,1585480.0,5.439878293410939
14,2023-02-16,1,P1harmony,,The Music Hall At Fair Park,Dallas,Texas,United States,Dallas-Ft. Worth,US DOLLAR,Live Nation,Asian Pop,"2,724",248937.85,"3,420",80%,65.45,155.45,91.39,2,Dallas_Texas_United States,P1harmony,UCe-XzQhLaq4zS_mPXzuc_2Q,P1Harmony,"P1Harmony Official YouTube Channel
피원하모니 공식 유튜브 계정입니다.",2020-08-25T09:49:33.713788Z,122917524.0,1050000.0,1078.0,P1harmony,"['k-pop', 'k-pop boy group']",1106357.0,64.0,P1Harmony,948637.0,0.0,0.0,0.0,1300642.0,47544.0,3.655425551381549,Dallas,2613539.0,183124.0,7.006744494725352,3,False,29145505.0,1585480.0,5.439878293410939
15,2023-02-14,1,P1harmony,,Austin City Limits Live at The Moody Theater,Austin,Texas,United States,Austin,US DOLLAR,C3 Presents,Asian Pop,"1,852",214838.0,"3,046",61%,89.00,165.00,116.0,2,Austin_Texas_United States,P1harmony,UCe-XzQhLaq4zS_mPXzuc_2Q,P1Harmony,"P1Harmony Official YouTube Channel
피원하모니 공식 유튜브 계정입니다.",2020-08-25T09:49:33.713788Z,122917524.0,1050000.0,1078.0,P1harmony,"['k-pop', 'k-pop boy group']",1106357.0,64.0,P1Harmony,948637.0,0.0,0.0,0.0,958202.0,80245.0,8.374538980298517,Travis,1290188.0,101038.0,7.831261800605803,1,False,29145505.0,1585480.0,5.439878293410939
16,2023-01-26,1,P1harmony,,713 Music Hall,Houston,Texas,United States,Houston,US DOLLAR,Live Nation,Asian Pop,"2,274",149265.0,"4,737",48%,55.50,125.50,65.64,1,Houston_Texas_United States,P1harmony,UCe-XzQhLaq4zS_mPXzuc_2Q,P1Harmony,"P1Harmony Official YouTube Channel
피원하모니 공식 유튜브 계정입니다.",2020-08-25T09:49:33.713788Z,122917524.0,1050000.0,1078.0,P1harmony,"['k-pop', 'k-pop boy group']",1106357.0,64.0,P1Harmony,948637.0,0.0,0.0,0.0,2296253.0,157978.0,6.879816814610586,Harris,4731145.0,349268.0,7.382314429170951,3,False,29145505.0,1585480.0,5.439878293410939
17,2022-11-16,1,ATEEZ,,Dickies Arena,Fort Worth,Texas,United States,Dallas-Ft. Worth,US DOLLAR,AEG Presents,Asian Pop,"11,023",1476046.0,"11,291",98%,54.00,280.00,133.91,11,Fort Worth_Texas_United States,ATEEZ,UC2e4Ukj5Pfr7cb3KpJAFBdQ,ATEEZ,ATEEZ(에이티즈) Official YouTube Channel,2018-06-27T01:57:58Z,882551629.0,3810000.0,1369.0,ATEEZ,"['k-pop', 'k-pop boy group']",3823462.0,73.0,ATEEZ,7769481.0,6.0,0.0,8.0,924663.0,45247.0,4.893350334121728,Tarrant,2110640.0,129437.0,6.132594852746086,2,False,29145505.0,1585480.0,5.439878293410939
